CustomerID,Name,Age,Gender,Location,PurchaseAmount,PurchaseFrequency,LastPurchaseDate,CustomerCategory
55382,Rachel Carr,60,Female,San Antonio,656.77,6,2023-03-07,Loyal
75853,Troy Martinez,26,Female,Dallas,475.98,15,2023-06-14,Churned
99301,Maurice Flores,49,Male,Houston,890.85,19,2023-09-09,Loyal
33591,Anthony Terry,48,Female,New York,345.3,23,2023-01-10,Churned
99582,Amanda Anderson,40,Male,Los Angeles,754.71,11,2023-08-09,New
30280,Jeff Hoover,42,Male,San Antonio,697.42,8,2024-07-01,Churned
20564,Molly Cruz,51,Female,San Antonio,541.91,5,2023-05-10,New
89595,Darrell Brooks DDS,22,Male,Houston,11.07,5,2023-09-17,At Risk
97143,Roy Carr,31,Female,Los Angeles,993.73,24,2024-03-20,At Risk
70846,Mark Andersen,45,Female,Dallas,910.96,29,2024-09-02,At Risk
29137,Kenneth Bailey,51,Female,New York,350.26,2,2022-12-31,Loyal
81807,Cassidy Rodriguez,60,Female,Los Angeles,317.24,30,2024-05-23,At Risk
64413,Wesley Rivera,55,Female,Los Angeles,897.72,15,2024-11-05,Loyal
80666,Alison Gray,73,Male,Chicago,724.25,21,2023-06-16,Churned
90059,Blake Spears,55,Male,Dallas,951.83,26,2023-10-23,New
77774,Casey Jones,21,Male,Phoenix,451.37,19,2024-01-23,Loyal
25993,Matthew Torres,42,Male,Houston,367.96,23,2023-09-13,Loyal
82410,Anthony Leach,69,Male,San Diego,77.38,3,2024-09-04,New
31871,Adam Mason,56,Male,Chicago,142.34,8,2024-04-28,At Risk
89965,Dana Reid,28,Male,Los Angeles,101.29,13,2024-09-01,New
40450,Matthew Davis,22,Male,San Diego,872.09,6,2023-11-27,New
61861,William Fitzgerald,35,Female,Chicago,733.3,10,2024-09-13,New
34123,Karen White,52,Male,Houston,774.98,4,2023-07-02,Churned
43856,Michael Meyer,64,Female,Dallas,860.79,4,2024-09-19,Loyal
33634,Amanda Hodges,23,Female,Dallas,941.11,3,2024-10-14,New
11362,Gabriel Wolfe,34,Female,Phoenix,687.78,21,2024-10-21,New
73969,Kari Gray,18,Male,San Antonio,877.64,25,2024-04-13,Churned
12635,Thomas Cook,70,Female,Chicago,167.08,4,2023-07-01,Loyal
65355,Brandon Rivas,35,Female,New York,634.13,23,2023-02-13,New
95144,Theresa Farrell,27,Male,Dallas,62.88,24,2023-08-16,Churned
56696,Michael White,27,Female,Phoenix,980.08,18,2024-08-09,New
90772,Derek Johnson,33,Female,Phoenix,454.62,8,2024-04-04,At Risk
55255,Casey Frey,69,Male,Los Angeles,245.76,10,2024-03-27,Churned
48681,Leonard Thompson,63,Female,San Antonio,415.2,10,2023-11-12,Loyal
70517,Joshua Garcia,60,Female,Dallas,629.61,9,2024-05-31,New
98615,Brian Conner,74,Female,San Antonio,361.82,23,2024-10-09,New
65079,Valerie White,47,Female,Phoenix,454.39,10,2024-03-03,Churned
35272,Sara Allen,26,Male,Houston,453.05,7,2023-12-29,New
49746,Darrell Webb,22,Male,San Diego,698.98,3,2022-12-25,New
46711,Peter Howell,25,Male,Phoenix,281.03,19,2023-10-08,Loyal
35667,Lauren Jordan,41,Male,San Diego,971.93,24,2024-01-31,Loyal
14545,Malik Brandt,31,Female,San Diego,972.18,1,2024-03-19,New
99166,Audrey Beck,60,Male,Dallas,721.98,26,2024-05-10,Churned
17004,John Erickson,72,Female,Chicago,452.41,1,2023-09-17,Loyal
95977,Breanna Price,23,Male,New York,208.4,18,2023-11-16,Loyal
61849,Stephen Anthony,45,Female,Los Angeles,756.03,13,2024-09-23,Churned
56306,Rodney Martin,32,Female,Phoenix,962.2,7,2023-12-25,New
12784,Kevin Walters,44,Male,Phoenix,209.31,27,2024-08-03,Churned
28158,Cory Welch,26,Male,Houston,944.85,7,2024-10-10,Loyal
43697,Cassandra Marshall,61,Female,Houston,804.26,22,2023-03-27,Churned
84994,Rachel Rowland,33,Male,New York,32.03,24,2024-03-27,New
97517,Cheryl Williams,60,Male,Phoenix,302.64,1,2023-02-01,Churned
53186,Amy Mcneil,75,Female,San Antonio,96.47,19,2023-05-31,Loyal
64330,Eric Torres,73,Male,Phoenix,409.88,10,2023-10-21,New
83077,John Sanchez,73,Male,Dallas,206.86,28,2023-07-30,New
13309,Joshua Ortiz,21,Female,Houston,679.99,8,2024-10-24,Loyal
29451,Nicole Pitts,62,Male,Houston,447.77,29,2024-05-04,Churned
13513,Christina Evans,25,Female,Chicago,454.32,23,2024-09-11,New
84120,Vicki Stewart,53,Male,Phoenix,304.22,17,2024-09-13,Churned
68680,John Martinez,31,Female,Phoenix,284.35,6,2023-05-21,At Risk
50429,Timothy Kline,72,Female,San Antonio,884.48,13,2023-04-09,At Risk
14439,Morgan Doyle,25,Male,Phoenix,707.14,30,2024-03-15,At Risk
90280,James Sparks,35,Male,Phoenix,860.46,12,2024-08-05,Churned
78673,Danielle Hicks,55,Female,Phoenix,540.2,18,2024-07-20,Churned
97030,Christopher Torres,70,Female,Dallas,936.95,28,2024-10-18,Loyal
46858,Steven Harding,35,Female,San Antonio,340.42,28,2024-04-04,At Risk
79001,Theresa Williams,28,Female,San Antonio,219.96,5,2023-05-03,New
78497,Aimee Grimes,49,Female,Phoenix,541.59,25,2024-06-22,Loyal
25627,Amanda Wilson,53,Male,San Diego,934.75,7,2024-10-10,Loyal
44996,Michael Crosby,71,Male,San Diego,867.12,20,2023-04-18,New
91083,Dawn Miller,75,Male,Phoenix,577.1,24,2024-03-08,At Risk
16087,John Gonzales,28,Female,New York,571.96,8,2023-09-26,Churned
91379,Bradley Hernandez,61,Female,Los Angeles,575.94,2,2023-12-14,At Risk
69782,Richard Ryan,39,Male,Chicago,688.48,28,2023-12-01,New
59836,Erica Robinson,43,Female,New York,191.84,16,2023-05-20,Churned
14149,Heather Rodriguez,64,Male,San Antonio,13.92,26,2023-10-21,Churned
97948,Sharon Harris,45,Female,Houston,290.6,4,2024-09-13,At Risk
63698,Connie Thompson,65,Female,Phoenix,314.36,2,2024-12-01,At Risk
58453,Miranda Black,73,Male,Houston,596.55,7,2023-03-25,New
66431,Jason Anderson,72,Male,Houston,723.56,11,2023-06-21,New
84562,Megan Miller,70,Male,Chicago,474.74,30,2023-10-27,Churned
16312,Christopher Castillo,69,Female,Los Angeles,520.36,10,2024-03-15,New
74677,Daniel Morgan,22,Female,Phoenix,382.31,11,2023-01-22,New
35073,Garrett Dawson,18,Female,Phoenix,657.53,8,2023-08-13,Churned
51975,Anthony Shepard,18,Female,San Diego,961.15,3,2024-06-07,Churned
45784,Patricia Santana,75,Male,San Antonio,778.76,2,2023-12-15,Churned
21109,Jeremy Kennedy,66,Male,Chicago,359.28,25,2024-07-18,At Risk
89241,Jillian Flores,39,Male,Los Angeles,557.9,20,2024-07-24,Loyal
47713,Rachel Murphy,18,Female,Los Angeles,264.51,28,2023-01-11,New
41599,Lisa Li,41,Male,Dallas,293.92,25,2024-07-08,At Risk
61577,Chloe Mills,67,Male,Los Angeles,312.31,25,2023-02-12,At Risk
99505,Becky Cooper,53,Female,Dallas,821.74,9,2024-12-13,New
58849,Jennifer Sanchez,53,Male,Houston,726.03,7,2024-06-14,Churned
10588,Robert Harrington,48,Male,Los Angeles,653.93,22,2023-06-18,New
23407,Cassandra Harper,69,Female,Chicago,767.62,1,2023-01-24,New
70252,Claire Garcia,36,Female,Chicago,47.4,19,2024-11-26,New
41094,Christopher Berger Jr.,55,Male,Los Angeles,461.91,20,2023-06-22,At Risk
68312,Kristina Lynch,23,Female,Chicago,333.53,15,2024-09-20,Churned
18348,Lisa Vaughn,42,Male,Dallas,930.63,4,2024-05-26,New
30875,Charles Jefferson,61,Male,Chicago,742.04,16,2024-04-13,At Risk
56037,Mark Hogan,31,Male,Chicago,826.24,17,2024-06-04,Loyal
88912,Jennifer Burke,45,Male,Chicago,746.1,28,2023-03-09,New
58534,Nicholas Rodriguez,30,Male,Phoenix,325.59,22,2024-09-12,Loyal
70202,Heather Bowers,75,Female,San Diego,143.41,21,2024-09-21,Churned
60522,Dale Watson,18,Female,New York,796.13,11,2023-02-24,Loyal
13098,Joseph Fields,57,Female,San Diego,870.78,13,2024-10-06,New
65259,William Johnson,37,Male,San Antonio,460.96,19,2023-09-09,New
52540,Rachel James,45,Female,Los Angeles,675.15,19,2023-01-16,Churned
26693,Emily Reynolds,31,Female,New York,365.12,26,2023-05-29,At Risk
22764,Laura Fisher,54,Male,Houston,633.99,1,2024-01-06,At Risk
91961,Matthew Jennings,48,Male,Phoenix,208.66,27,2023-06-04,Loyal
89318,Eric Clark,67,Male,San Antonio,625.85,4,2024-08-10,Churned
78946,James Farley,74,Female,Los Angeles,91.28,10,2022-12-21,New
15663,Christine Frank,63,Female,San Antonio,958.12,10,2023-11-11,Loyal
72588,Crystal Buck,35,Male,San Antonio,249.78,1,2024-09-01,Loyal
77420,Brenda Johnson MD,33,Male,Chicago,999.53,9,2023-05-14,New
